date,dawn,sunrise,noon,sunset,dusk,eod
2020-01-01,473,43,227,226,44,427
2020-01-02,473,43,227,228,43,426
2020-01-03,473,43,228,228,43,425
2020-01-04,472,44,228,229,43,424
2020-01-05,472,43,229,230,43,423
2020-01-06,472,43,230,231,43,421
2020-01-07,472,42,231,232,43,420
2020-01-08,471,43,232,232,43,419
2020-01-09,471,42,233,234,42,418
2020-01-10,470,43,234,234,43,416
2020-01-11,470,42,235,236,42,415
2020-01-12,469,42,236,237,43,413
2020-01-13,468,43,237,238,42,412
2020-01-14,468,42,238,239,42,411
2020-01-15,467,42,240,240,42,409
2020-01-16,466,42,241,242,42,407
2020-01-17,465,42,242,244,41,406
2020-01-18,464,42,244,244,42,404
2020-01-19,463,42,245,246,41,403
2020-01-20,462,41,247,248,41,401
2020-01-21,461,41,249,249,40,400
2020-01-22,460,41,250,250,41,398
2020-01-23,459,41,251,252,41,396
2020-01-24,458,40,253,254,41,394
2020-01-25,457,40,255,255,40,393
2020-01-26,456,40,256,257,40,391
2020-01-27,454,40,258,259,40,389
2020-01-28,453,40,259,261,39,388
2020-01-29,452,39,261,263,39,386
2020-01-30,450,39,264,264,39,384
2020-01-31,449,39,265,266,39,382
2020-02-01,447,39,267,268,39,380
2020-02-02,446,39,268,269,39,379
2020-02-03,444,39,270,271,39,377
2020-02-04,442,39,272,273,39,375
2020-02-05,441,38,274,275,39,373
2020-02-06,439,38,277,276,39,371
2020-02-07,437,39,278,278,39,369
2020-02-08,436,38,280,280,38,368
2020-02-09,434,38,282,282,38,366
2020-02-10,432,38,284,284,38,364
2020-02-11,430,38,286,286,38,362
2020-02-12,429,37,288,288,38,360
2020-02-13,427,37,290,290,38,358
2020-02-14,425,37,292,292,38,356
2020-02-15,423,37,294,294,37,355
2020-02-16,421,37,296,296,37,353
2020-02-17,419,37,298,298,37,351
2020-02-18,417,37,300,300,37,349
2020-02-19,415,36,302,303,37,347
2020-02-20,413,36,304,305,37,345
2020-02-21,411,36,306,307,37,343
2020-02-22,409,36,308,309,37,341
2020-02-23,406,37,310,311,36,340
2020-02-24,404,36,313,313,36,338
2020-02-25,402,36,315,315,36,336
2020-02-26,400,36,317,317,36,334
2020-02-27,398,36,318,320,36,332
2020-02-28,396,35,321,322,36,330
2020-02-29,393,36,323,324,36,328
2020-03-01,391,36,325,326,35,327
2020-03-02,389,36,327,328,35,325
2020-03-03,387,35,329,330,36,323
2020-03-04,384,36,331,332,36,321
2020-03-05,382,36,333,334,36,319
2020-03-06,380,35,336,336,36,317
2020-03-07,377,36,338,338,36,315
2020-03-08,375,35,340,341,35,314
2020-03-09,373,35,342,343,35,312
2020-03-10,370,36,344,345,35,310
2020-03-11,368,35,347,347,35,308
2020-03-12,365,36,348,349,36,306
2020-03-13,363,35,351,351,36,304
2020-03-14,361,35,353,353,36,302
2020-03-15,358,36,354,356,36,300
2020-03-16,356,35,357,358,35,299
2020-03-17,353,36,359,360,35,297
2020-03-18,351,35,362,362,35,295
2020-03-19,348,36,363,364,36,293
2020-03-20,346,35,366,366,36,291
2020-03-21,343,36,368,368,36,289
2020-03-22,341,36,369,371,36,287
2020-03-23,338,36,372,373,36,285
2020-03-24,336,36,374,375,36,283
2020-03-25,334,35,376,377,36,282
2020-03-26,331,36,378,379,36,280
2020-03-27,329,35,381,381,36,278
2020-03-28,326,36,383,383,36,276
2020-03-29,384,36,384,386,36,214
2020-03-30,381,36,387,388,36,212
2020-03-31,379,36,389,389,37,210
2020-04-01,376,36,391,392,37,208
2020-04-02,373,37,393,394,37,206
2020-04-03,371,36,396,396,37,204
2020-04-04,368,37,397,399,37,202
2020-04-05,366,37,399,401,37,200
2020-04-06,363,37,402,402,37,199
2020-04-07,361,37,404,404,37,197
2020-04-08,358,38,405,407,37,195
2020-04-09,356,37,408,409,37,193
2020-04-10,353,38,410,411,37,191
2020-04-11,351,37,413,413,37,189
2020-04-12,348,38,414,415,38,187
2020-04-13,346,38,416,417,38,185
2020-04-14,343,38,419,419,38,183
2020-04-15,341,38,421,421,38,181
2020-04-16,339,38,422,424,38,179
2020-04-17,336,39,424,426,38,177
2020-04-18,334,38,427,427,39,175
2020-04-19,331,39,429,429,39,173
2020-04-20,329,39,430,432,39,171
2020-04-21,326,40,432,434,39,169
2020-04-22,324,39,435,436,39,167
2020-04-23,321,40,437,438,40,164
2020-04-24,319,40,439,439,41,162
2020-04-25,317,40,440,442,41,160
2020-04-26,314,41,442,444,41,158
2020-04-27,312,41,444,446,41,156
2020-04-28,310,40,447,448,41,154
2020-04-29,307,41,449,449,42,152
2020-04-30,305,41,451,451,42,150
2020-05-01,303,41,453,453,42,148
2020-05-02,300,42,455,455,42,146
2020-05-03,298,42,456,458,42,144
2020-05-04,296,42,458,459,43,142
2020-05-05,294,42,460,461,43,140
2020-05-06,292,43,461,463,43,138
2020-05-07,289,44,463,465,43,136
2020-05-08,287,44,465,466,44,134
2020-05-09,285,44,467,468,44,132
2020-05-10,283,44,469,470,44,130
2020-05-11,281,44,471,472,44,128
2020-05-12,279,45,472,473,45,126
2020-05-13,277,45,474,475,45,124
2020-05-14,275,45,476,477,45,122
2020-05-15,273,46,477,478,46,120
2020-05-16,271,46,479,480,46,118
2020-05-17,269,46,481,481,47,116
2020-05-18,267,47,482,483,47,114
2020-05-19,265,47,484,485,47,112
2020-05-20,264,47,485,486,48,110
2020-05-21,262,48,486,488,48,108
2020-05-22,260,48,488,489,48,107
2020-05-23,259,48,489,491,48,105
2020-05-24,257,49,490,492,49,103
2020-05-25,255,49,492,494,49,101
2020-05-26,254,49,494,494,49,100
2020-05-27,253,49,495,495,50,98
2020-05-28,251,50,496,497,50,96
2020-05-29,250,50,497,498,50,95
2020-05-30,248,51,498,499,51,93
2020-05-31,247,51,499,500,51,92
2020-06-01,246,51,500,502,51,90
2020-06-02,245,51,502,502,51,89
2020-06-03,244,51,503,503,52,87
2020-06-04,243,52,503,504,52,86
2020-06-05,242,52,504,505,52,85
2020-06-06,241,52,505,506,52,84
2020-06-07,240,53,505,507,53,82
2020-06-08,239,53,507,507,53,81
2020-06-09,239,53,507,508,53,80
2020-06-10,238,53,508,508,54,79
2020-06-11,238,53,508,509,54,78
2020-06-12,237,54,508,510,53,78
2020-06-13,237,53,510,509,54,77
2020-06-14,236,54,510,510,54,76
2020-06-15,236,54,510,510,54,76
2020-06-16,236,54,510,511,54,75
2020-06-17,236,54,510,511,55,74
2020-06-18,236,54,511,511,54,74
2020-06-19,236,54,511,511,54,74
2020-06-20,236,54,511,511,55,73
2020-06-21,236,54,511,511,55,73
2020-06-22,236,55,511,511,54,73
2020-06-23,237,54,511,511,54,73
2020-06-24,237,54,511,511,54,73
2020-06-25,238,54,510,511,54,73
2020-06-26,238,54,510,511,53,74
2020-06-27,239,54,510,509,54,74
2020-06-28,240,53,510,509,54,74
2020-06-29,240,54,509,509,53,75
2020-06-30,241,54,508,509,53,75
2020-07-01,242,53,508,508,53,76
2020-07-02,243,53,508,507,53,76
2020-07-03,244,53,507,506,53,77
2020-07-04,245,53,506,506,52,78
2020-07-05,246,53,505,505,52,79
2020-07-06,247,53,504,504,53,79
2020-07-07,249,52,503,504,52,80
2020-07-08,250,52,503,502,52,81
2020-07-09,251,52,502,501,51,83
2020-07-10,253,51,501,500,51,84
2020-07-11,254,51,500,499,51,85
2020-07-12,256,50,499,498,51,86
2020-07-13,257,51,497,497,51,87
2020-07-14,259,50,496,496,50,89
2020-07-15,260,50,496,494,50,90
2020-07-16,262,49,495,493,49,92
2020-07-17,264,49,493,492,49,93
2020-07-18,265,49,492,491,48,95
2020-07-19,267,49,490,489,49,96
2020-07-20,269,48,489,488,48,98
2020-07-21,271,47,488,487,47,100
2020-07-22,272,48,486,485,47,102
2020-07-23,274,47,485,484,47,103
2020-07-24,276,47,483,482,47,105
2020-07-25,278,47,481,481,46,107
2020-07-26,280,46,480,479,46,109
2020-07-27,282,46,478,477,46,111
2020-07-28,284,45,477,476,45,113
2020-07-29,285,46,475,474,45,115
2020-07-30,287,46,473,472,45,117
2020-07-31,289,45,472,471,44,119
2020-08-01,291,45,470,469,44,121
2020-08-02,293,44,469,467,44,123
2020-08-03,295,44,467,465,44,125
2020-08-04,297,44,465,463,44,127
2020-08-05,299,44,463,461,43,130
2020-08-06,301,43,461,460,43,132
2020-08-07,303,43,459,458,43,134
2020-08-08,305,43,457,456,43,136
2020-08-09,307,42,456,454,42,139
2020-08-10,309,42,454,452,42,141
2020-08-11,311,42,452,450,42,143
2020-08-12,313,42,450,448,41,146
2020-08-13,315,41,448,447,41,148
2020-08-14,317,41,446,445,41,150
2020-08-15,319,41,444,443,40,153
2020-08-16,321,40,443,441,40,155
2020-08-17,323,40,441,439,40,157
2020-08-18,325,40,438,437,40,160
2020-08-19,327,40,436,435,40,162
2020-08-20,329,39,435,433,39,165
2020-08-21,331,39,433,431,39,167
2020-08-22,333,39,430,429,39,170
2020-08-23,335,39,428,427,39,172
2020-08-24,337,38,427,425,38,175
2020-08-25,339,38,425,423,38,177
2020-08-26,341,38,422,421,39,179
2020-08-27,342,39,420,419,38,182
2020-08-28,344,38,419,417,38,184
2020-08-29,346,38,416,415,38,187
2020-08-30,348,38,414,413,37,190
2020-08-31,350,38,412,411,37,192
2020-09-01,352,37,411,408,37,195
2020-09-02,354,37,408,407,37,197
2020-09-03,356,37,406,404,37,200
2020-09-04,358,37,404,402,37,202
2020-09-05,359,37,402,401,36,205
2020-09-06,361,37,400,398,37,207
2020-09-07,363,37,398,396,36,210
2020-09-08,365,37,395,394,37,212
2020-09-09,367,36,394,392,36,215
2020-09-10,369,36,392,389,37,217
2020-09-11,371,36,389,388,36,220
2020-09-12,372,37,387,386,36,222
2020-09-13,374,36,385,384,36,225
2020-09-14,376,36,383,382,36,227
2020-09-15,378,36,381,379,36,230
2020-09-16,380,36,378,378,36,232
2020-09-17,382,35,377,375,36,235
2020-09-18,383,36,375,373,36,237
2020-09-19,385,36,372,371,36,240
2020-09-20,387,36,370,369,36,242
2020-09-21,389,35,369,366,36,245
2020-09-22,391,35,366,365,36,247
2020-09-23,392,36,364,363,35,250
2020-09-24,394,36,362,360,36,252
2020-09-25,396,35,360,359,35,255
2020-09-26,398,35,358,356,36,257
2020-09-27,399,36,356,354,35,260
2020-09-28,401,36,353,352,36,262
2020-09-29,403,36,351,350,35,265
2020-09-30,405,35,350,347,36,267
2020-10-01,407,35,347,346,35,270
2020-10-02,408,36,345,344,35,272
2020-10-03,410,36,343,341,36,274
2020-10-04,412,35,341,340,35,277
2020-10-05,414,35,339,337,36,279
2020-10-06,415,36,337,335,36,281
2020-10-07,417,36,334,334,35,284
2020-10-08,419,36,332,331,36,286
2020-10-09,421,36,330,329,36,288
2020-10-10,423,35,329,327,35,291
2020-10-11,424,36,326,325,36,293
2020-10-12,426,36,324,323,36,295
2020-10-13,428,36,322,321,35,298
2020-10-14,430,36,320,318,36,300
2020-10-15,431,37,317,317,36,302
2020-10-16,433,36,316,315,36,304
2020-10-17,435,36,314,312,37,306
2020-10-18,437,36,312,310,36,309
2020-10-19,439,36,309,309,36,311
2020-10-20,440,37,307,307,36,313
2020-10-21,442,37,305,304,37,315
2020-10-22,444,37,303,302,37,317
2020-10-23,446,37,301,300,37,319
2020-10-24,448,36,300,298,37,321
2020-10-25,389,37,298,296,37,383
2020-10-26,391,37,295,295,37,385
2020-10-27,393,37,293,293,37,387
2020-10-28,395,37,291,291,37,389
2020-10-29,397,37,289,289,37,391
2020-10-30,398,38,287,287,37,393
2020-10-31,400,38,285,285,37,395
2020-11-01,402,38,283,283,37,397
2020-11-02,404,38,281,281,38,398
2020-11-03,405,39,279,279,38,400
2020-11-04,407,39,277,277,38,402
2020-11-05,409,38,276,275,38,404
2020-11-06,411,38,274,273,39,405
2020-11-07,413,38,272,271,39,407
2020-11-08,414,39,270,270,38,409
2020-11-09,416,39,268,268,39,410
2020-11-10,418,39,266,266,39,412
2020-11-11,420,39,265,264,39,413
2020-11-12,421,40,263,262,39,415
2020-11-13,423,40,261,260,40,416
2020-11-14,425,40,259,259,40,417
2020-11-15,426,40,258,257,40,419
2020-11-16,428,40,256,256,40,420
2020-11-17,430,40,254,254,41,421
2020-11-18,431,41,253,252,41,422
2020-11-19,433,41,251,251,40,424
2020-11-20,435,41,249,249,41,425
2020-11-21,436,41,248,248,41,426
2020-11-22,438,41,247,246,41,427
2020-11-23,439,42,245,245,41,428
2020-11-24,441,41,244,244,41,429
2020-11-25,443,41,242,243,41,430
2020-11-26,444,42,241,241,41,431
2020-11-27,446,41,240,240,42,431
2020-11-28,447,42,238,239,42,432
2020-11-29,448,43,237,237,42,433
2020-11-30,450,42,236,236,43,433
2020-12-01,451,43,235,234,43,434
2020-12-02,453,42,234,234,42,435
2020-12-03,454,43,232,233,43,435
2020-12-04,455,43,232,232,42,436
2020-12-05,456,43,231,231,43,436
2020-12-06,458,43,230,230,43,436
2020-12-07,459,43,229,229,43,437
2020-12-08,460,43,228,229,43,437
2020-12-09,461,43,228,228,43,437
2020-12-10,462,43,227,227,44,437
2020-12-11,463,44,226,226,44,437
2020-12-12,464,44,225,226,44,437
2020-12-13,465,44,225,225,44,437
2020-12-14,466,43,225,225,44,437
2020-12-15,466,44,225,224,44,437
2020-12-16,467,44,224,224,44,437
2020-12-17,468,44,224,224,44,436
2020-12-18,469,44,223,224,44,436
2020-12-19,469,44,224,223,44,436
2020-12-20,470,44,223,224,44,435
2020-12-21,470,44,224,223,44,435
2020-12-22,471,44,223,224,44,434
2020-12-23,471,44,224,223,44,434
2020-12-24,472,44,223,224,44,433
2020-12-25,472,44,224,224,44,432
2020-12-26,472,44,224,225,43,432
2020-12-27,472,44,225,224,44,431
2020-12-28,473,43,225,225,44,430
2020-12-29,473,43,226,225,44,429
2020-12-30,473,43,226,226,44,428
2020-12-31,473,43,226,227,44,427
