iso3,count_col1,count_col2,count_col3,count_col4,count_scol1,count_scol2,count_scol3,free,total_col
ABW,0,0,0,0,0,0,0,0,0
AFG,0,0,0,0,0,0,0,0,0
AGO,0,0,0,0,0,0,0,0,0
AIA,0,0,0,0,0,0,0,0,0
ALB,0,0,0,0,0,0,0,0,0
AND,0,0,0,0,0,0,0,1,0
ANT,0,0,0,0,0,0,0,0,0
ARE,0,0,0,0,0,0,0,0,0
ARG,0,0,0,0,0,0,0,0,0
ARM,0,0,0,0,0,0,0,0,0
ATF,0,0,0,0,0,0,0,1,0
ATG,0,0,0,0,0,0,0,0,0
AUS,0,8,8,0,0,0,0,0,16
AUT,3,3,0,0,3,3,0,0,6
AZE,0,0,0,0,0,0,0,0,0
BDI,0,0,0,0,0,0,0,0,0
BEL,3,0,0,0,0,0,0,0,3
BEN,0,0,0,0,0,0,0,0,0
BFA,0,0,0,0,0,0,0,0,0
BGD,0,0,0,0,0,0,0,0,0
BGR,0,0,0,0,0,0,0,0,0
BHR,0,0,0,0,0,0,0,0,0
BHS,0,0,0,0,0,0,0,0,0
BIH,0,0,0,0,0,0,0,0,0
BLR,0,0,0,0,0,0,0,0,0
BLZ,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0
BOL,0,0,0,0,0,0,0,0,0
BRA,0,0,0,0,2,0,0,0,0
BRB,0,0,0,0,0,0,0,0,0
BRN,0,0,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,0,0,0,0
CAF,0,0,0,0,0,0,0,0,0
CAN,0,0,0,0,0,0,0,0,0
CCK,0,0,0,0,0,0,0,0,0
CHE,0,0,0,0,0,0,0,1,0
CHL,0,0,0,0,0,0,0,0,0
CHN,1,0,0,0,1,0,0,1,1
CIV,0,0,0,0,0,0,0,0,0
CMR,0,0,0,0,0,0,0,0,0
COG,0,0,0,0,0,0,0,0,0
COK,0,0,0,0,0,0,0,0,0
COL,0,0,0,0,1,0,0,0,0
COM,0,0,0,0,0,0,0,0,0
CPV,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,0,0,0,0
CUB,0,0,0,0,0,0,0,0,0
CXR,0,0,0,0,0,0,0,0,0
CYM,0,0,0,0,0,0,0,0,0
CYP,0,0,0,0,0,0,0,0,0
CZE,0,0,0,0,0,0,0,0,0
DEU,42,42,0,0,42,0,0,1,84
DJI,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,0,0
DNK,3,0,0,0,3,0,0,1,3
DOM,0,0,0,0,0,0,0,0,0
DZA,0,0,0,0,0,0,0,0,0
ECU,0,0,0,0,0,0,0,0,0
EGY,0,1,0,0,0,0,0,0,1
ERI,0,0,0,0,0,0,0,0,0
ESH,0,0,0,0,0,0,0,0,0
ESP,192,192,192,0,192,192,0,1,576
EST,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,1,0,0,0
FIN,0,0,0,0,0,0,0,0,0
FJI,0,0,0,0,0,0,0,0,0
FLK,0,0,0,0,0,0,0,0,0
FRA,888,888,0,0,888,0,0,1,1776
FRO,0,0,0,0,0,0,0,0,0
FSM,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,0,0
GBR,348,0,0,0,348,0,0,1,348
GEO,0,0,0,0,0,0,0,0,0
GHA,0,0,0,0,0,0,0,0,0
GIB,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,0,0
GLP,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,0,0
GNB,0,0,0,0,0,0,0,0,0
GNQ,0,0,0,0,0,0,0,0,0
GRC,0,0,1,0,0,0,0,0,1
GRD,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,0,0,0
GUF,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0
HKG,0,0,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,0,0,0
HRV,0,0,0,0,0,0,0,0,0
HTI,0,1,0,0,0,0,0,0,1
HUN,3,0,0,0,3,3,3,1,3
IDN,0,1,0,0,1,0,0,0,1
IND,0,0,0,0,1,1,0,0,0
IRL,0,0,0,0,0,0,0,0,0
IRN,0,0,0,0,0,0,0,1,0
IRQ,0,0,0,0,0,0,0,0,0
ISL,0,0,0,0,0,0,0,0,0
ISR,0,0,0,0,0,0,0,0,0
ITA,0,4,0,0,4,0,0,1,4
JAM,0,0,0,0,0,0,0,0,0
JOR,0,0,0,0,0,0,0,0,0
JPN,9,0,0,9,9,0,0,1,18
KAZ,0,0,0,0,0,0,0,0,0
KEN,0,0,0,0,0,0,0,0,0
KGZ,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,0,0,0,0
KIR,0,0,0,0,0,0,0,0,0
KNA,0,0,0,0,0,0,0,0,0
KOR,0,0,0,0,0,0,0,0,0
KWT,0,0,0,0,0,0,0,0,0
LAO,0,0,0,0,0,0,0,0,0
LBN,0,0,0,0,0,0,0,0,0
LBR,0,0,0,0,0,0,0,0,0
LBY,0,0,0,0,0,0,0,0,0
LCA,0,0,0,0,0,0,0,0,0
LKA,0,0,0,0,0,0,0,0,0
LSO,0,0,0,0,0,0,0,0,0
LTU,0,0,0,0,0,0,0,0,0
LUX,0,0,0,0,0,0,0,0,0
LVA,0,0,0,0,0,0,0,0,0
MAC,0,0,0,0,0,0,0,0,0
MAR,0,1,0,0,0,0,0,0,1
MDA,0,0,0,0,0,0,0,0,0
MDG,0,0,0,0,0,0,0,0,0
MDV,0,0,0,0,0,0,0,0,0
MEX,0,0,0,0,0,0,0,0,0
MHL,0,0,0,0,0,0,0,1,0
MKD,0,0,0,0,0,0,0,0,0
MLI,0,0,0,0,0,0,0,0,0
MLT,0,0,0,0,0,0,0,0,0
MMR,0,0,0,0,0,0,0,0,0
MNG,0,0,0,0,0,0,0,0,0
MNP,0,0,0,0,0,0,0,0,0
MOZ,0,0,0,0,0,0,0,0,0
MRT,0,0,0,0,0,0,0,0,0
MSR,0,0,0,0,0,0,0,0,0
MTQ,0,0,0,0,0,0,0,0,0
MUS,0,0,0,0,0,0,0,0,0
MWI,0,0,0,0,0,0,0,0,0
MYS,0,0,0,0,0,0,0,0,0
NAM,0,0,0,0,0,0,0,0,0
NCL,0,0,0,0,0,0,0,0,0
NER,0,0,0,0,0,0,0,0,0
NFK,0,0,0,0,0,0,0,0,0
NGA,0,0,0,0,0,0,0,0,0
NIC,0,0,0,0,0,0,0,0,0
NIU,0,0,0,0,0,0,0,0,0
NLD,30,30,0,0,30,30,0,0,60
NOR,0,0,0,0,0,0,0,0,0
NPL,0,0,0,0,0,0,0,1,0
NRU,0,0,0,0,0,0,0,0,0
NZL,0,4,0,0,0,0,0,0,4
OMN,0,0,0,0,0,0,0,0,0
PAK,0,0,0,0,0,0,0,0,0
PAL,0,0,0,0,0,0,0,0,0
PAN,0,0,0,0,0,0,0,0,0
PCN,0,0,0,0,0,0,0,0,0
PER,0,0,0,0,0,0,0,0,0
PHL,0,0,0,0,0,0,0,0,0
PLW,0,0,0,0,0,0,0,0,0
PNG,0,0,0,0,0,0,0,0,0
POL,0,0,0,0,1,0,0,0,0
PRI,0,0,0,0,0,0,0,0,0
PRK,0,0,0,0,0,0,0,0,0
PRT,9,0,0,0,0,0,0,1,9
PRY,0,0,0,0,0,0,0,0,0
PYF,0,0,0,0,0,0,0,0,0
QAT,0,0,0,0,0,0,0,0,0
REU,0,0,0,0,0,0,0,0,0
ROM,0,0,0,0,0,0,0,0,0
RUS,15,15,0,0,15,0,0,1,30
RWA,0,0,0,0,0,0,0,0,0
SAU,0,0,0,0,0,0,0,1,0
SDN,0,0,0,0,0,0,0,0,0
SEN,0,0,0,0,0,0,0,0,0
SGP,0,0,0,0,0,0,0,0,0
SHN,0,0,0,0,0,0,0,0,0
SLB,0,0,0,0,0,0,0,0,0
SLE,0,0,0,0,0,0,0,0,0
SLV,0,0,0,0,0,0,0,0,0
SMR,0,0,0,0,0,0,0,1,0
SOM,0,0,0,0,0,0,0,0,0
SPM,0,0,0,0,0,0,0,0,0
STP,0,0,0,0,0,0,0,0,0
SUR,0,0,0,0,0,0,0,0,0
SVK,0,0,0,0,0,0,0,0,0
SVN,0,0,0,0,0,0,0,0,0
SWE,0,2,0,0,2,0,0,1,2
SWZ,0,0,0,0,0,0,0,0,0
SYC,0,0,0,0,0,0,0,0,0
SYR,0,0,0,0,0,0,0,0,0
TCA,0,0,0,0,0,0,0,0,0
TCD,0,0,0,0,0,0,0,0,0
TGO,0,0,0,0,0,0,0,0,0
THA,0,0,0,0,0,0,0,1,0
TJK,0,0,0,0,0,0,0,0,0
TKL,0,0,0,0,0,0,0,0,0
TKM,0,0,0,0,0,0,0,0,0
TMP,0,0,0,0,0,0,0,0,0
TON,0,0,0,0,0,0,0,0,0
TTO,0,0,0,0,0,0,0,0,0
TUN,0,0,0,0,0,0,0,0,0
TUR,378,378,0,0,378,0,0,1,756
TUV,0,0,0,0,0,0,0,0,0
TWN,0,0,0,0,0,0,0,0,0
TZA,0,0,0,0,0,0,0,0,0
UGA,0,0,0,0,0,0,0,0,0
UKR,0,0,0,0,0,0,0,0,0
URY,0,0,0,0,0,0,0,0,0
USA,0,12,12,0,12,0,0,0,24
UZB,0,0,0,0,0,0,0,0,0
VCT,0,0,0,0,0,0,0,0,0
VEN,0,0,0,0,0,0,0,0,0
VGB,0,0,0,0,0,0,0,0,0
VNM,0,0,0,0,0,0,0,0,0
VUT,0,0,0,0,0,0,0,0,0
WLF,0,0,0,0,0,0,0,0,0
WSM,0,0,0,0,0,0,0,0,0
YEM,0,0,0,0,0,0,0,0,0
YUG,0,0,0,0,4,0,0,0,0
ZAF,0,2,0,0,0,0,0,0,2
ZAR,0,0,0,0,0,0,0,0,0
ZMB,0,0,0,0,0,0,0,0,0
ZWE,0,0,0,0,0,0,0,0,0
